repo_name,stars,owner,repo,sustainability_status,language,pushed_at,archived,api_status,pushed_date,months_inactive
komodojp/tinyld,260,komodojp,tinyld,non_sustainable,TypeScript,2023-05-17T14:22:21Z,False,success,2023-05-17 14:22:21+00:00,19.316688567674113
2hacc/TVBox,389,2hacc,TVBox,sustainable,JavaScript,2024-12-15T06:51:50Z,False,success,2024-12-15 06:51:50+00:00,0.328515111695138
CodeWithHarry/Sigma-Web-Dev-Course,530,CodeWithHarry,Sigma-Web-Dev-Course,sustainable,JavaScript,2024-11-05T13:28:33Z,False,success,2024-11-05 13:28:33+00:00,1.6425755584756898
sveltejs/svelte,726,sveltejs,svelte,sustainable,JavaScript,2025-12-25T20:23:26Z,False,success,2025-12-25 20:23:26+00:00,-11.990801576872535
ezshine/AwesomeSites,600,ezshine,AwesomeSites,sustainable,JavaScript,2025-12-25T16:17:54Z,False,success,2025-12-25 16:17:54+00:00,-11.990801576872535
sveltejs/kit,263,sveltejs,kit,sustainable,JavaScript,2025-12-25T01:06:55Z,False,success,2025-12-25 01:06:55+00:00,-11.990801576872535
gaotianliuyun/gao,381,gaotianliuyun,gao,sustainable,JavaScript,2024-11-17T14:05:27Z,False,success,2024-11-17 14:05:27+00:00,1.2483574244415243
gchq/CyberChef,329,gchq,CyberChef,sustainable,JavaScript,2025-08-06T08:54:32Z,False,success,2025-08-06 08:54:32+00:00,-7.35873850197109
wanglin2/mind-map,250,wanglin2,mind-map,sustainable,JavaScript,2025-12-07T01:43:26Z,False,success,2025-12-07 01:43:26+00:00,-11.399474375821287
ToolJet/ToolJet,299,ToolJet,ToolJet,sustainable,JavaScript,2025-12-26T04:54:10Z,False,success,2025-12-26 04:54:10+00:00,-12.02365308804205
goabstract/Awesome-Design-Tools,628,goabstract,Awesome-Design-Tools,sustainable,JavaScript,2024-07-28T19:57:31Z,False,success,2024-07-28 19:57:31+00:00,4.92772667542707
TryGhost/Ghost,273,TryGhost,Ghost,sustainable,JavaScript,2025-12-20T23:36:15Z,False,success,2025-12-20 23:36:15+00:00,-11.826544021024967
NaiboWang/EasySpider,625,NaiboWang,EasySpider,sustainable,JavaScript,2025-12-01T08:39:17Z,False,success,2025-12-01 08:39:17+00:00,-11.202365308804204
keshavgbpecdelhi/Web-Development,338,keshavgbpecdelhi,Web-Development,sustainable,JavaScript,2024-08-11T09:52:01Z,False,success,2024-08-11 09:52:01+00:00,4.467805519053877
songquanpeng/one-api,1564,songquanpeng,one-api,sustainable,JavaScript,2025-11-20T01:15:39Z,False,success,2025-11-20 01:15:39+00:00,-10.840998685939553
nolimits4web/swiper,268,nolimits4web,swiper,sustainable,JavaScript,2025-11-03T14:03:18Z,False,success,2025-11-03 14:03:18+00:00,-10.282522996057818
iamkun/dayjs,240,iamkun,dayjs,sustainable,JavaScript,2025-12-18T11:06:58Z,False,success,2025-12-18 11:06:58+00:00,-11.76084099868594
isno/theByteBook,573,isno,theByteBook,sustainable,JavaScript,2025-11-27T08:04:55Z,False,success,2025-11-27 08:04:55+00:00,-11.070959264126149
vanila-io/wireflow,300,vanila-io,wireflow,sustainable,JavaScript,2024-09-28T19:22:24Z,False,success,2024-09-28 19:22:24+00:00,2.890932982917214
SortableJS/Sortable,229,SortableJS,Sortable,sustainable,JavaScript,2025-05-29T19:31:47Z,False,success,2025-05-29 19:31:47+00:00,-5.091984231274639
szimek/sharedrop,293,szimek,sharedrop,sustainable,JavaScript,2025-02-10T10:47:15Z,False,success,2025-02-10 10:47:15+00:00,-1.5440210249671484
Chalarangelo/30-seconds-of-code,786,Chalarangelo,30-seconds-of-code,sustainable,JavaScript,2025-12-09T07:29:39Z,False,success,2025-12-09 07:29:39+00:00,-11.465177398160314
louislam/uptime-kuma,1315,louislam,uptime-kuma,sustainable,JavaScript,2025-12-26T01:40:57Z,False,success,2025-12-26 01:40:57+00:00,-12.02365308804205
501351981/vue-office,236,501351981,vue-office,sustainable,JavaScript,2025-10-09T04:05:34Z,False,success,2025-10-09 04:05:34+00:00,-9.461235216819974
facebook/react,1212,facebook,react,sustainable,JavaScript,2025-12-19T16:34:50Z,False,success,2025-12-19 16:34:50+00:00,-11.793692509855452
LiteLoaderQQNT/LiteLoaderQQNT,248,LiteLoaderQQNT,LiteLoaderQQNT,sustainable,JavaScript,2025-12-04T06:42:12Z,False,success,2025-12-04 06:42:12+00:00,-11.300919842312746
be5invis/Iosevka,467,be5invis,Iosevka,sustainable,JavaScript,2025-12-24T21:58:25Z,False,success,2025-12-24 21:58:25+00:00,-11.957950065703022
denysdovhan/wtfjs,328,denysdovhan,wtfjs,sustainable,JavaScript,2025-03-18T13:55:28Z,False,success,2025-03-18 13:55:28+00:00,-2.726675427069645
eip-work/kuboard-press,304,eip-work,kuboard-press,sustainable,JavaScript,2025-11-30T08:50:46Z,False,success,2025-11-30 08:50:46+00:00,-11.169513797634691
LeCoupa/awesome-cheatsheets,446,LeCoupa,awesome-cheatsheets,sustainable,JavaScript,2025-11-19T21:48:00Z,False,success,2025-11-19 21:48:00+00:00,-10.808147174770038
facebook/stylex,5988,facebook,stylex,sustainable,JavaScript,2025-12-26T05:16:20Z,False,success,2025-12-26 05:16:20+00:00,-12.02365308804205
100xdevs-cohort-2/assignments,1169,100xdevs-cohort-2,assignments,sustainable,JavaScript,2024-08-19T05:03:16Z,False,success,2024-08-19 05:03:16+00:00,4.204993429697766
jackhawks/rectg,502,jackhawks,rectg,sustainable,JavaScript,2025-12-09T20:01:19Z,False,success,2025-12-09 20:01:19+00:00,-11.465177398160314
nalgeon/codapi-js,229,nalgeon,codapi-js,sustainable,JavaScript,2025-12-13T07:37:22Z,False,success,2025-12-13 07:37:22+00:00,-11.59658344283837
gorhill/uBlock,648,gorhill,uBlock,sustainable,JavaScript,2025-12-25T21:36:17Z,False,success,2025-12-25 21:36:17+00:00,-11.990801576872535
mozilla/pdf.js,332,mozilla,pdf.js,sustainable,JavaScript,2025-12-23T21:13:13Z,False,success,2025-12-23 21:13:13+00:00,-11.925098554533507
spicetify/spicetify-cli,242,spicetify,spicetify-cli,sustainable,JavaScript,2025-12-19T23:19:28Z,False,success,2025-12-19 23:19:28+00:00,-11.793692509855452
chinese-poetry/chinese-poetry,283,chinese-poetry,chinese-poetry,sustainable,JavaScript,2025-04-02T09:42:19Z,False,success,2025-04-02 09:42:19+00:00,-3.219448094612352
Z-Siqi/Clash-for-Windows_Chinese,938,Z-Siqi,Clash-for-Windows_Chinese,sustainable,JavaScript,2025-06-26T05:13:29Z,False,success,2025-06-26 05:13:29+00:00,-6.011826544021025
paulmillr/encrypted-dns,309,paulmillr,encrypted-dns,sustainable,JavaScript,2025-12-02T01:44:53Z,False,success,2025-12-02 01:44:53+00:00,-11.235216819973719
gethomepage/homepage,672,gethomepage,homepage,sustainable,JavaScript,2025-12-26T05:49:29Z,False,success,2025-12-26 05:49:29+00:00,-12.02365308804205
vanjs-org/van,469,vanjs-org,van,sustainable,JavaScript,2025-09-24T00:55:34Z,False,success,2025-09-24 00:55:34+00:00,-8.968462549277266
SocialSisterYi/bilibili-API-collect,336,SocialSisterYi,bilibili-API-collect,sustainable,JavaScript,2025-11-16T16:06:42Z,False,success,2025-11-16 16:06:42+00:00,-10.709592641261498
