repo_name,stars,owner,repo,sustainability_status,language,pushed_at,archived,api_status
Hack-with-Github/Awesome-Hacking,1174,Hack-with-Github,Awesome-Hacking,unknown,,2025-01-18T01:48:02Z,False,success
bytebase/bytebase,1170,bytebase,bytebase,unknown,Go,2025-12-26T06:08:10Z,False,success
lencx/ChatGPT,1169,lencx,ChatGPT,unknown,Rust,2024-08-29T17:58:11Z,False,success
100xdevs-cohort-2/assignments,1169,100xdevs-cohort-2,assignments,unknown,JavaScript,2024-08-19T05:03:16Z,False,success
roboflow/supervision,1168,roboflow,supervision,unknown,Python,2025-12-22T17:34:57Z,False,success
wavetermdev/waveterm,1161,wavetermdev,waveterm,unknown,Go,2025-12-24T07:00:41Z,False,success
gpt-engineer-org/gpt-engineer,1157,gpt-engineer-org,gpt-engineer,unknown,Python,2025-05-14T10:15:10Z,False,success
dreamoving/dreamoving-project,1148,dreamoving,dreamoving-project,unknown,,2024-01-09T16:20:15Z,False,success
ytongbai/LVM,1147,ytongbai,LVM,unknown,Python,2024-06-28T04:44:40Z,False,success
microsoft/vscode,1144,microsoft,vscode,unknown,TypeScript,2025-12-26T03:44:30Z,False,success
jordan-cutler/path-to-senior-engineer-handbook,1141,jordan-cutler,path-to-senior-engineer-handbook,unknown,,2025-05-12T12:01:34Z,False,success
easychen/lean-side-bussiness,1140,easychen,lean-side-bussiness,unknown,,2024-03-28T04:22:59Z,False,success
danswer-ai/danswer,1138,danswer-ai,danswer,unknown,Python,2025-12-26T06:04:07Z,False,success
Stability-AI/stablediffusion,1137,Stability-AI,stablediffusion,unknown,,,,not_found
usememos/memos,1135,usememos,memos,unknown,TypeScript,2025-12-25T16:14:02Z,False,success
bbycroft/llm-viz,1134,bbycroft,llm-viz,unknown,TypeScript,2024-08-24T23:41:32Z,False,success
SagerNet/sing-box,1120,SagerNet,sing-box,unknown,Go,2025-12-26T03:49:58Z,False,success
LiLittleCat/awesome-free-chatgpt,1116,LiLittleCat,awesome-free-chatgpt,unknown,Python,2025-06-23T12:16:37Z,False,success
vercel/next.js,1114,vercel,next.js,unknown,JavaScript,2025-12-25T07:03:18Z,False,success
