repo_name,owner,repo,stars,language,pushed_at,archived,sustainability_status
calcom/cal.com,calcom,cal.com,528,TypeScript,2025-12-26T04:47:52Z,False,sustainable
streetwriters/notesnook,streetwriters,notesnook,385,TypeScript,2025-12-26T06:25:16Z,False,sustainable
wg-easy/wg-easy,wg-easy,wg-easy,342,TypeScript,2025-12-22T04:15:13Z,False,sustainable
udecode/plate,udecode,plate,1251,TypeScript,2025-12-23T06:53:39Z,False,sustainable
huntabyte/shadcn-svelte,huntabyte,shadcn-svelte,301,TypeScript,2025-12-23T11:49:28Z,False,sustainable
informalsystems/quint,informalsystems,quint,292,TypeScript,2025-12-24T17:14:35Z,False,sustainable
stuffmatic/fSpy,stuffmatic,fSpy,2436,TypeScript,2022-12-08T17:16:22Z,False,non_sustainable
bitwarden/desktop,bitwarden,desktop,3534,TypeScript,2022-07-22T16:59:56Z,True,non_sustainable
jiayihu/pretty-algorithms,jiayihu,pretty-algorithms,2183,TypeScript,2017-08-26T19:27:47Z,False,non_sustainable
kactus-io/kactus,kactus-io,kactus,1508,TypeScript,2022-07-22T08:24:14Z,False,non_sustainable
sebholstein/angular-google-maps,sebholstein,angular-google-maps,2026,TypeScript,2024-06-06T13:27:05Z,True,non_sustainable
mobxjs/mobx-react,mobxjs,mobx-react,4832,TypeScript,2020-12-30T16:19:32Z,True,non_sustainable
smeijer/unimported,smeijer,unimported,1975,TypeScript,2024-03-10T19:22:40Z,True,non_sustainable
will-stone/browserosaurus,will-stone,browserosaurus,1973,TypeScript,2025-08-02T20:43:21Z,True,non_sustainable
SteveSandersonMS/WebWindow,SteveSandersonMS,WebWindow,1979,TypeScript,2023-01-07T11:53:40Z,True,non_sustainable
dabbott/react-native-express,dabbott,react-native-express,1866,TypeScript,2022-05-31T10:09:15Z,False,non_sustainable
vmware-archive/clarity,vmware-archive,clarity,6412,TypeScript,2023-03-16T01:37:07Z,True,non_sustainable
kubernetes-retired/kui,kubernetes-retired,kui,2913,TypeScript,2025-07-12T22:06:01Z,True,non_sustainable
rematch/rematch,rematch,rematch,8435,TypeScript,2023-09-27T10:20:18Z,True,non_sustainable
ConsenSys-archive/ganache,ConsenSys-archive,ganache,2641,TypeScript,2024-01-29T22:09:03Z,True,non_sustainable
kaorun343/vue-property-decorator,kaorun343,vue-property-decorator,5500,TypeScript,2023-04-11T05:28:16Z,True,non_sustainable
googleworkspace/md2googleslides,googleworkspace,md2googleslides,4700,TypeScript,2025-11-18T23:27:06Z,True,non_sustainable
alm-tools/alm,alm-tools,alm,3015,TypeScript,2022-05-15T23:44:16Z,False,non_sustainable
alexjoverm/typescript-library-starter,alexjoverm,typescript-library-starter,4377,TypeScript,2022-04-07T13:09:07Z,False,non_sustainable
rangle/augury,rangle,augury,2001,TypeScript,2021-09-10T17:24:57Z,True,non_sustainable
propelml/propel,propelml,propel,2698,TypeScript,2018-05-29T06:55:08Z,True,non_sustainable
yuanqing/vdx,yuanqing,vdx,1663,TypeScript,2021-02-27T07:45:42Z,False,non_sustainable
kentcdodds/cross-env,kentcdodds,cross-env,6523,TypeScript,2025-11-16T14:11:37Z,True,non_sustainable
bloomrpc/bloomrpc,bloomrpc,bloomrpc,9013,TypeScript,2023-01-04T07:51:04Z,True,non_sustainable
onivim/oni,onivim,oni,11285,TypeScript,2020-04-01T15:27:11Z,True,non_sustainable
remaxjs/remax,remaxjs,remax,4583,TypeScript,2024-03-07T08:51:04Z,True,non_sustainable
radix-ui/design-system,radix-ui,design-system,2278,TypeScript,2024-03-15T11:16:15Z,True,non_sustainable
midwayjs/pandora,midwayjs,pandora,3069,TypeScript,2021-07-14T15:23:28Z,True,non_sustainable
gajus/redux-immutable,gajus,redux-immutable,1876,TypeScript,2022-03-28T21:47:31Z,False,non_sustainable
cloud-annotations/cloud-annotations,cloud-annotations,cloud-annotations,2687,TypeScript,2022-07-12T17:41:45Z,False,non_sustainable
cs01/termpair,cs01,termpair,1723,TypeScript,2022-06-22T06:17:15Z,False,non_sustainable
benawad/lireddit,benawad,lireddit,1764,TypeScript,2022-08-15T11:50:55Z,False,non_sustainable
s-panferov/awesome-typescript-loader,s-panferov,awesome-typescript-loader,2349,TypeScript,2019-10-31T17:37:45Z,True,non_sustainable
johnagan/clean-webpack-plugin,johnagan,clean-webpack-plugin,1955,TypeScript,2021-09-01T13:46:08Z,False,non_sustainable
outline/rich-markdown-editor,outline,rich-markdown-editor,2929,TypeScript,2022-01-17T09:00:09Z,True,non_sustainable
brunnolou/react-morph,brunnolou,react-morph,2554,TypeScript,2022-12-12T12:34:24Z,False,non_sustainable
facebookarchive/redux-react-hook,facebookarchive,redux-react-hook,2152,TypeScript,2021-11-09T17:28:27Z,True,non_sustainable
beizhedenglong/rough-charts,beizhedenglong,rough-charts,1548,TypeScript,2020-11-03T17:52:46Z,False,non_sustainable
meetalva/alva,meetalva,alva,3711,TypeScript,2022-06-24T23:01:00Z,True,non_sustainable
expo/expo-cli,expo,expo-cli,2659,TypeScript,2023-12-30T13:33:59Z,True,non_sustainable
Qihoo360/wayne,Qihoo360,wayne,3712,TypeScript,2022-05-31T00:52:04Z,False,non_sustainable
alephjs/aleph.js,alephjs,aleph.js,5222,TypeScript,2025-07-06T02:54:52Z,True,non_sustainable
Elderjs/elderjs,Elderjs,elderjs,2125,TypeScript,2022-11-21T10:44:49Z,False,non_sustainable
sentialx/multrin,sentialx,multrin,2303,TypeScript,2021-06-23T13:58:30Z,True,non_sustainable
pedronauck/react-adopt,pedronauck,react-adopt,1671,TypeScript,2022-12-07T09:01:35Z,False,non_sustainable
microsoft/code-push,microsoft,code-push,4425,TypeScript,2025-05-20T11:58:18Z,True,non_sustainable
joe-bell/plaiceholder,joe-bell,plaiceholder,2330,TypeScript,2023-05-24T17:31:36Z,True,non_sustainable
microsoft/vscode-go,microsoft,vscode-go,5921,TypeScript,2020-06-10T17:27:08Z,True,non_sustainable
appbaseio/mirage,appbaseio,mirage,2207,TypeScript,2022-12-02T23:51:22Z,False,non_sustainable
ide-stories/vscode-stories,ide-stories,vscode-stories,1866,TypeScript,2021-04-29T21:41:47Z,False,non_sustainable
microsoft/frontend-bootcamp,microsoft,frontend-bootcamp,10823,TypeScript,2022-01-13T17:22:50Z,True,non_sustainable
songquanpeng/one-api,songquanpeng,one-api,1564,JavaScript,2025-11-20T01:15:39Z,False,sustainable
gethomepage/homepage,gethomepage,homepage,672,JavaScript,2025-12-26T05:49:29Z,False,sustainable
100xdevs-cohort-2/assignments,100xdevs-cohort-2,assignments,1169,JavaScript,2024-08-19T05:03:16Z,False,sustainable
docsifyjs/docsify,docsifyjs,docsify,233,JavaScript,2025-12-22T02:19:40Z,False,sustainable
vanila-io/wireflow,vanila-io,wireflow,300,JavaScript,2024-09-28T19:22:24Z,False,sustainable
serverless/serverless,serverless,serverless,333,JavaScript,2025-12-24T14:28:56Z,False,sustainable
denysdovhan/wtfjs,denysdovhan,wtfjs,328,JavaScript,2025-03-18T13:55:28Z,False,sustainable
be5invis/Iosevka,be5invis,Iosevka,467,JavaScript,2025-12-24T21:58:25Z,False,sustainable
nalgeon/codapi-js,nalgeon,codapi-js,229,JavaScript,2025-12-13T07:37:22Z,False,sustainable
szimek/sharedrop,szimek,sharedrop,293,JavaScript,2025-02-10T10:47:15Z,False,sustainable
keshavgbpecdelhi/Web-Development,keshavgbpecdelhi,Web-Development,338,JavaScript,2024-08-11T09:52:01Z,False,sustainable
sveltejs/kit,sveltejs,kit,263,JavaScript,2025-12-25T01:06:55Z,False,sustainable
Z-Siqi/Clash-for-Windows_Chinese,Z-Siqi,Clash-for-Windows_Chinese,938,JavaScript,2025-06-26T05:13:29Z,False,sustainable
ToolJet/ToolJet,ToolJet,ToolJet,299,JavaScript,2025-12-26T04:54:10Z,False,sustainable
ezshine/AwesomeSites,ezshine,AwesomeSites,600,JavaScript,2025-12-25T16:17:54Z,False,sustainable
gchq/CyberChef,gchq,CyberChef,329,JavaScript,2025-08-06T08:54:32Z,False,sustainable
SocialSisterYi/bilibili-API-collect,SocialSisterYi,bilibili-API-collect,336,JavaScript,2025-11-16T16:06:42Z,False,sustainable
chokcoco/iCSS,chokcoco,iCSS,1352,JavaScript,2025-08-27T02:33:21Z,False,sustainable
blackmatrix7/ios_rule_script,blackmatrix7,ios_rule_script,586,JavaScript,2025-12-25T18:14:00Z,False,sustainable
iamkun/dayjs,iamkun,dayjs,240,JavaScript,2025-12-18T11:06:58Z,False,sustainable
goabstract/Awesome-Design-Tools,goabstract,Awesome-Design-Tools,628,JavaScript,2024-07-28T19:57:31Z,False,sustainable
isno/theByteBook,isno,theByteBook,573,JavaScript,2025-11-27T08:04:55Z,False,sustainable
LiteLoaderQQNT/LiteLoaderQQNT,LiteLoaderQQNT,LiteLoaderQQNT,248,JavaScript,2025-12-04T06:42:12Z,False,sustainable
mozilla/pdf.js,mozilla,pdf.js,332,JavaScript,2025-12-23T21:13:13Z,False,sustainable
jackhawks/rectg,jackhawks,rectg,502,JavaScript,2025-12-09T20:01:19Z,False,sustainable
2hacc/TVBox,2hacc,TVBox,389,JavaScript,2024-12-15T06:51:50Z,False,sustainable
xenova/transformers.js,xenova,transformers.js,346,JavaScript,2025-12-23T15:50:48Z,False,sustainable
eip-work/kuboard-press,eip-work,kuboard-press,304,JavaScript,2025-11-30T08:50:46Z,False,sustainable
gorhill/uBlock,gorhill,uBlock,648,JavaScript,2025-12-25T21:36:17Z,False,sustainable
gaotianliuyun/gao,gaotianliuyun,gao,381,JavaScript,2024-11-17T14:05:27Z,False,sustainable
facebook/stylex,facebook,stylex,5988,JavaScript,2025-12-26T05:16:20Z,False,sustainable
NaiboWang/EasySpider,NaiboWang,EasySpider,625,JavaScript,2025-12-01T08:39:17Z,False,sustainable
chinese-poetry/chinese-poetry,chinese-poetry,chinese-poetry,283,JavaScript,2025-04-02T09:42:19Z,False,sustainable
CodeWithHarry/Sigma-Web-Dev-Course,CodeWithHarry,Sigma-Web-Dev-Course,530,JavaScript,2024-11-05T13:28:33Z,False,sustainable
louislam/uptime-kuma,louislam,uptime-kuma,1315,JavaScript,2025-12-26T01:40:57Z,False,sustainable
sveltejs/svelte,sveltejs,svelte,726,JavaScript,2025-12-25T20:23:26Z,False,sustainable
ascoders/weekly,ascoders,weekly,611,JavaScript,2024-09-09T01:39:37Z,False,sustainable
spicetify/spicetify-cli,spicetify,spicetify-cli,242,JavaScript,2025-12-19T23:19:28Z,False,sustainable
facebook/react,facebook,react,1212,JavaScript,2025-12-19T16:34:50Z,False,sustainable
vanjs-org/van,vanjs-org,van,469,JavaScript,2025-09-24T00:55:34Z,False,sustainable
TryGhost/Ghost,TryGhost,Ghost,273,JavaScript,2025-12-20T23:36:15Z,False,sustainable
501351981/vue-office,501351981,vue-office,236,JavaScript,2025-10-09T04:05:34Z,False,sustainable
SortableJS/Sortable,SortableJS,Sortable,229,JavaScript,2025-05-29T19:31:47Z,False,sustainable
microsoft/Web-Dev-For-Beginners,microsoft,Web-Dev-For-Beginners,635,JavaScript,2025-12-19T10:32:56Z,False,sustainable
Chalarangelo/30-seconds-of-code,Chalarangelo,30-seconds-of-code,786,JavaScript,2025-12-09T07:29:39Z,False,sustainable
wanglin2/mind-map,wanglin2,mind-map,250,JavaScript,2025-12-07T01:43:26Z,False,sustainable
AMAI-GmbH/AI-Expert-Roadmap,AMAI-GmbH,AI-Expert-Roadmap,269,JavaScript,2025-09-12T14:59:30Z,False,sustainable
nolimits4web/swiper,nolimits4web,swiper,268,JavaScript,2025-11-03T14:03:18Z,False,sustainable
LeCoupa/awesome-cheatsheets,LeCoupa,awesome-cheatsheets,446,JavaScript,2025-11-19T21:48:00Z,False,sustainable
