repo_name,owner,repo,stars,language,pushed_at,archived,sustainability_status,api_status,code_review_score,has_code_of_conduct,has_contributing,has_issue_template,has_license,has_pull_request_template,has_readme,health_percentage,maintained_score,overall_score,median_issue_response_days,median_pr_review_days,total_commits,unique_contributors,forks_count,network_count,stars_count,status,watchers_count,bus_factor,contributor_diversity_gini,num_contributors
albumentations-team/albumentations,albumentations-team,albumentations,15234,Python,2025-06-25T23:21:43Z,True,non_sustainable,success,3.0,True,True,False,True,False,True,75,0.0,3.4,1.4583333333333333,0.0,19090.0,3.0,1705,1705,15234,success,124,7.0,0.8362,167
lukemelas/EfficientNet-PyTorch,lukemelas,EfficientNet-PyTorch,8210,Python,2022-04-08T12:30:25Z,False,non_sustainable,success,3.0,False,False,False,True,False,True,42,0.0,3.4,34.666666666666664,,,,1540,1540,8210,success,129,2.0,0.7989,21
twintproject/twint,twintproject,twint,16283,Python,2023-02-23T13:58:09Z,True,non_sustainable,success,8.0,False,False,True,True,False,True,37,0.0,3.8,3.146851851851852,,,,2781,2781,16283,success,330,2.0,0.8819,56
rbgirshick/py-faster-rcnn,rbgirshick,py-faster-rcnn,8280,Python,2019-11-07T04:31:35Z,False,non_sustainable,success,,False,False,False,True,False,True,42,,,0.8914583333333334,,,,4104,4104,8280,success,285,1.0,0.7799,5
google/trax,google,trax,8296,Python,2025-09-26T14:37:32Z,True,non_sustainable,success,4.0,True,True,True,True,False,True,75,0.0,4.6,95.70833333333331,,37.0,1.0,827,827,8297,success,136,8.0,0.8303,71
neuralmagic/deepsparse,neuralmagic,deepsparse,3159,Python,2025-06-02T21:11:06Z,True,non_sustainable,success,7.0,False,False,False,True,False,True,50,0.0,3.6,0.8333333333333333,0.0833333333333333,2631.0,11.0,192,192,3159,success,52,9.0,0.7246,38
lcdevelop/ChatBotCourse,lcdevelop,ChatBotCourse,6015,Python,2022-07-18T09:16:17Z,False,non_sustainable,success,,False,False,False,True,False,True,42,,,12.801782407407408,,,,1670,1670,6015,success,374,1.0,1.0,1
bytedance/byteps,bytedance,byteps,3715,Python,2023-10-03T18:02:27Z,True,non_sustainable,success,3.0,False,True,False,True,False,True,62,0.0,3.5,19.12877314814815,,,,494,494,3715,success,81,3.0,0.809,19
jwyang/faster-rcnn.pytorch,jwyang,faster-rcnn.pytorch,7856,Python,2022-05-20T09:01:28Z,False,non_sustainable,success,7.0,False,False,False,True,False,True,42,0.0,3.8,83.95833333333333,,,,2318,2318,7856,success,88,2.0,0.8721,26
floodsung/Deep-Learning-Papers-Reading-Roadmap,floodsung,Deep-Learning-Papers-Reading-Roadmap,39403,Python,2022-11-27T13:18:32Z,False,non_sustainable,success,8.0,False,False,False,False,False,True,28,0.0,3.4,0.0,,,,7335,7335,39402,success,2075,15.0,0.3676,24
microservices-demo/microservices-demo,microservices-demo,microservices-demo,3748,Python,2023-12-05T14:11:58Z,True,non_sustainable,success,8.0,False,True,True,True,True,True,62,0.0,4.5,137.05322916666665,,,,2921,2921,3748,success,147,6.0,0.8234,48
microsoft/nlp-recipes,microsoft,nlp-recipes,6442,Python,2022-08-30T19:12:12Z,True,non_sustainable,success,8.0,True,True,True,True,True,True,87,0.0,5.2,13.596342592592592,,,,920,920,6442,success,184,5.0,0.8227,37
