repo_name,stars,owner,repo,sustainability_status
1Panel-dev/1Panel,941,1Panel-dev,1Panel,unknown
Z-Siqi/Clash-for-Windows_Chinese,938,Z-Siqi,Clash-for-Windows_Chinese,unknown
OpenAccess-AI-Collective/axolotl,937,OpenAccess-AI-Collective,axolotl,unknown
llmware-ai/llmware,933,llmware-ai,llmware,unknown
swisskyrepo/PayloadsAllTheThings,931,swisskyrepo,PayloadsAllTheThings,unknown
Hannibal046/Awesome-LLM,928,Hannibal046,Awesome-LLM,unknown
RVC-Project/Retrieval-based-Voice-Conversion-WebUI,926,RVC-Project,Retrieval-based-Voice-Conversion-WebUI,unknown
stas00/ml-engineering,925,stas00,ml-engineering,unknown
chenzomi12/DeepLearningSystem,919,chenzomi12,DeepLearningSystem,unknown
guoqincode/AnimateAnyone-unofficial,919,guoqincode,AnimateAnyone-unofficial,unknown
2dust/v2rayNG,918,2dust,v2rayNG,unknown
justjavac/free-programming-books-zh_CN,917,justjavac,free-programming-books-zh_CN,unknown
ventoy/Ventoy,917,ventoy,Ventoy,unknown
prs-eth/Marigold,913,prs-eth,Marigold,unknown
yformer/EfficientSAM,913,yformer,EfficientSAM,unknown
ZHO-ZHO-ZHO/comfyui-portrait-master-zh-cn,912,ZHO-ZHO-ZHO,comfyui-portrait-master-zh-cn,unknown
astral-sh/ruff,909,astral-sh,ruff,unknown
Innei/Shiro,908,Innei,Shiro,unknown
github/gitignore,905,github,gitignore,unknown
Asabeneh/30-Days-Of-Python,904,Asabeneh,30-Days-Of-Python,unknown
topjohnwu/Magisk,898,topjohnwu,Magisk,unknown
keiko233/clash-nyanpasu,893,keiko233,clash-nyanpasu,unknown
laravel/pulse,888,laravel,pulse,unknown
oven-sh/bun,888,oven-sh,bun,unknown
fffaraz/awesome-cpp,887,fffaraz,awesome-cpp,unknown
sudheerj/javascript-interview-questions,884,sudheerj,javascript-interview-questions,unknown
leiurayer/downkyi,882,leiurayer,downkyi,unknown
hoppscotch/hoppscotch,882,hoppscotch,hoppscotch,unknown
valinet/ExplorerPatcher,877,valinet,ExplorerPatcher,unknown
basecamp/solid_queue,874,basecamp,solid_queue,unknown
SeaQL/FireDBG.for.Rust,871,SeaQL,FireDBG.for.Rust,unknown
flutter/flutter,865,flutter,flutter,unknown
NopeCHALLC/nopecha-extension,861,NopeCHALLC,nopecha-extension,unknown
pmndrs/zustand,859,pmndrs,zustand,unknown
termux/termux-app,857,termux,termux-app,unknown
ggerganov/whisper.cpp,857,ggerganov,whisper.cpp,unknown
githubnext/monaspace,853,githubnext,monaspace,unknown
OpenBMB/ChatDev,851,OpenBMB,ChatDev,unknown
NationalSecurityAgency/ghidra,850,NationalSecurityAgency,ghidra,unknown
Anjok07/ultimatevocalremovergui,848,Anjok07,ultimatevocalremovergui,unknown
WuKongOpenSource/WukongCRM-11.0-JAVA,847,WuKongOpenSource,WukongCRM-11.0-JAVA,unknown
dair-ai/Prompt-Engineering-Guide,840,dair-ai,Prompt-Engineering-Guide,unknown
google/comprehensive-rust,837,google,comprehensive-rust,unknown
FlowiseAI/Flowise,836,FlowiseAI,Flowise,unknown
gedoor/legado,834,gedoor,legado,unknown
maypok86/otter,832,maypok86,otter,unknown
successfulstudy/promptoftheyear,831,successfulstudy,promptoftheyear,unknown
ChrisTitusTech/winutil,830,ChrisTitusTech,winutil,unknown
webstudio-is/webstudio,830,webstudio-is,webstudio,unknown
jaywcjlove/linux-command,829,jaywcjlove,linux-command,unknown
pastelsky/tsdocs,827,pastelsky,tsdocs,unknown
EmergeTools/Pow,825,EmergeTools,Pow,unknown
getify/You-Dont-Know-JS,824,getify,You-Dont-Know-JS,unknown
luciddreamer-cvlab/LucidDreamer,823,luciddreamer-cvlab,LucidDreamer,unknown
pingcap/awesome-database-learning,822,pingcap,awesome-database-learning,unknown
lxfater/inpaint-web,822,lxfater,inpaint-web,unknown
hyprwm/Hyprland,821,hyprwm,Hyprland,unknown
Snailclimb/JavaGuide,816,Snailclimb,JavaGuide,unknown
chaitin/SafeLine,815,chaitin,SafeLine,unknown
chinesehuazhou/python-whydo,812,chinesehuazhou,python-whydo,unknown
DataTalksClub/data-engineering-zoomcamp,811,DataTalksClub,data-engineering-zoomcamp,unknown
kubernetes/kubernetes,810,kubernetes,kubernetes,unknown
THUDM/CogVLM,809,THUDM,CogVLM,unknown
pydantic/FastUI,809,pydantic,FastUI,unknown
maotoumao/MusicFree,808,maotoumao,MusicFree,unknown
tensorflow/tensorflow,806,tensorflow,tensorflow,unknown
CompVis/stable-diffusion,806,CompVis,stable-diffusion,unknown
beeper/imessage,806,beeper,imessage,unknown
facebookresearch/segment-anything,805,facebookresearch,segment-anything,unknown
MlgmXyysd/Xiaomi-BootLoader-Questionnaire,801,MlgmXyysd,Xiaomi-BootLoader-Questionnaire,unknown
THUDM/ChatGLM-6B,799,THUDM,ChatGLM-6B,unknown
gregberge/twc,797,gregberge,twc,unknown
elie222/inbox-zero,795,elie222,inbox-zero,unknown
jason5ng32/MyIP,794,jason5ng32,MyIP,unknown
MichaelYuhe/ai-group-tabs,792,MichaelYuhe,ai-group-tabs,unknown
WuKongOpenSource/Wukong_Accounting,792,WuKongOpenSource,Wukong_Accounting,unknown
krishnaik06/The-Grand-Complete-Data-Science-Materials,791,krishnaik06,The-Grand-Complete-Data-Science-Materials,unknown
microsoft/playwright,789,microsoft,playwright,unknown
anuraghazra/github-readme-stats,786,anuraghazra,github-readme-stats,unknown
Chalarangelo/30-seconds-of-code,786,Chalarangelo,30-seconds-of-code,unknown
langchain-ai/opengpts,784,langchain-ai,opengpts,unknown
rust-unofficial/awesome-rust,783,rust-unofficial,awesome-rust,unknown
google/style-aligned,779,google,style-aligned,unknown
ocornut/imgui,777,ocornut,imgui,unknown
flowdriveai/flowpilot,771,flowdriveai,flowpilot,unknown
penpot/penpot,771,penpot,penpot,unknown
mouredev/Hello-Python,770,mouredev,Hello-Python,unknown
nvm-sh/nvm,768,nvm-sh,nvm,unknown
lyswhut/lx-music-desktop,766,lyswhut,lx-music-desktop,unknown
Az0x7/vulnerability-Checklist,764,Az0x7,vulnerability-Checklist,unknown
orbitinghail/sqlsync,762,orbitinghail,sqlsync,unknown
openchatai/OpenCopilot,760,openchatai,OpenCopilot,unknown
run-llama/rags,760,run-llama,rags,unknown
golang/go,759,golang,go,unknown
linyiLYi/voice-assistant,758,linyiLYi,voice-assistant,unknown
binhnguyennus/awesome-scalability,756,binhnguyennus,awesome-scalability,unknown
tayllan/awesome-algorithms,756,tayllan,awesome-algorithms,unknown
MatsuriDayo/nekoray,754,MatsuriDayo,nekoray,unknown
BerriAI/litellm,751,BerriAI,litellm,unknown
imDazui/Tvlist-awesome-m3u-m3u8,750,imDazui,Tvlist-awesome-m3u-m3u8,unknown
Flipper-XFW/Xtreme-Firmware,746,Flipper-XFW,Xtreme-Firmware,unknown
voxel51/fiftyone,745,voxel51,fiftyone,unknown
ultralytics/yolov5,742,ultralytics,yolov5,unknown
