has_code_of_conduct,has_contributing,has_license,has_readme,has_issue_template,has_pull_request_template,health_percentage,api_status,repo_name,owner,repo,overall_score,maintained_score,code_review_score
False,True,True,True,False,False,62,success,ConsenSys-archive/ganache,ConsenSys-archive,ganache,,,
False,False,True,True,False,False,42,success,kaorun343/vue-property-decorator,kaorun343,vue-property-decorator,1.9,0.0,1.0
False,True,True,True,False,False,62,success,googleworkspace/md2googleslides,googleworkspace,md2googleslides,3.8,0.0,2.0
False,True,True,True,False,False,50,success,alm-tools/alm,alm-tools,alm,1.6,0.0,0.0
True,True,True,True,False,False,71,success,alexjoverm/typescript-library-starter,alexjoverm,typescript-library-starter,4.1,0.0,8.0
True,True,True,True,True,False,62,success,rangle/augury,rangle,augury,2.8,0.0,8.0
False,False,True,True,False,False,37,success,propelml/propel,propelml,propel,5.0,0.0,10.0
False,False,True,True,False,False,42,success,yuanqing/vdx,yuanqing,vdx,2.5,0.0,0.0
False,True,True,True,True,True,71,success,kentcdodds/cross-env,kentcdodds,cross-env,4.0,0.0,4.0
False,False,True,True,False,False,37,success,bloomrpc/bloomrpc,bloomrpc,bloomrpc,,,
True,True,True,True,True,False,62,success,onivim/oni,onivim,oni,,,
True,True,True,True,False,False,75,success,remaxjs/remax,remaxjs,remax,2.7,0.0,2.0
False,False,True,True,False,False,37,success,radix-ui/design-system,radix-ui,design-system,2.0,0.0,0.0
False,True,True,True,False,False,50,success,midwayjs/pandora,midwayjs,pandora,3.2,0.0,4.0
False,False,True,True,False,False,42,success,gajus/redux-immutable,gajus,redux-immutable,3.1,0.0,1.0
False,False,True,True,False,False,37,success,cloud-annotations/cloud-annotations,cloud-annotations,cloud-annotations,,,
False,True,True,True,False,True,71,success,cs01/termpair,cs01,termpair,2.3,0.0,0.0
False,False,True,True,False,False,28,success,benawad/lireddit,benawad,lireddit,,,
False,True,True,True,False,False,57,success,s-panferov/awesome-typescript-loader,s-panferov,awesome-typescript-loader,2.3,0.0,5.0
False,False,True,True,True,False,42,success,johnagan/clean-webpack-plugin,johnagan,clean-webpack-plugin,4.2,0.0,9.0
False,False,True,True,False,False,62,success,outline/rich-markdown-editor,outline,rich-markdown-editor,1.9,0.0,1.0
