repo_name,stars
dani-garcia/vaultwarden,687
eosphoros-ai/DB-GPT,686
type-challenges/type-challenges,685
refinedev/refine,684
uvdesk/community-skeleton,682
raysan5/raylib,681
tw93/Pake,680
LizardByte/Sunshine,679
manticoresoftware/manticoresearch,679
BradyFU/Awesome-Multimodal-Large-Language-Models,678
joaomdmoura/crewAI,677
nektos/act,676
Acly/krita-ai-diffusion,676
SuxueCode/WechatBakTool,675
commaai/openpilot,675
ryanoasis/nerd-fonts,675
ofek/pyapp,674
nlohmann/json,674
zhyever/PatchFusion,673
Lightning-AI/lit-gpt,672
alacritty/alacritty,672
gethomepage/homepage,672
mlc-ai/mlc-llm,671
goldbergyoni/nodebestpractices,671
matt8707/ha-fusion,669
djsime1/awesome-flipperzero,669
debauchee/barrier,667
AntonOsika/gpt-engineer,665
Flode-Labs/vid2densepose,665
infiniflow/infinity,665
DarkFlippers/unleashed-firmware,663
webkul/hotelcommerce,663
jart/cosmopolitan,662
kroma-network/tachyon,660
SawyerHood/draw-a-ui,658
standard-webhooks/standard-webhooks,658
BurntSushi/ripgrep,657
dai-shi/waku,657
huggingface/diffusers,657
JShollaj/awesome-llm-interpretability,657
MatsuriDayo/NekoBoxForAndroid,655
spla-tam/SplaTAM,655
hiddify/hiddify-next,653
nestjs/nest,652
SPLWare/esProc,651
tesseract-ocr/tesseract,650
hiteshchoudhary/chai-aur-react,650
liuchong/awesome-roadmaps,649
dair-ai/ML-Papers-of-the-Week,649
gorhill/uBlock,648
iusztinpaul/hands-on-llms,647
zbezj/HEU_KMS_Activator,647
d3george/slash-admin,647
django/django,646
ziglang/zig,644
freefq/free,642
Alvin9999/new-pac,641
jellyfin/jellyfin,641
colinhacks/zod,641
TheRamU/Fay,641
halo-dev/halo,640
openai-translator/openai-translator,637
weaigc/bingo,637
facebook/react-native,637
yuzu-emu/yuzu,637
microsoft/Web-Dev-For-Beginners,635
opencv/opencv,635
apache/superset,634
logseq/logseq,634
Wilfred/difftastic,633
milvus-io/milvus,632
facefusion/facefusion,631
yuliskov/SmartTube,631
folke/lazy.nvim,631
facebook/docusaurus,630
goabstract/Awesome-Design-Tools,628
modularml/mojo,628
gin-gonic/gin,626
bevyengine/bevy,625
NaiboWang/EasySpider,625
bitcoin/bitcoin,622
acmesh-official/acme.sh,622
piglei/one-python-craftsman,621
Anttwo/SuGaR,620
sudheerj/reactjs-interview-questions,620
helix-editor/helix,619
opentofu/opentofu,619
prisma/prisma,618
Anuken/Mindustry,616
simondankelmann/Bluetooth-LE-Spam,615
vuejs/core,613
pot-app/pot-desktop,613
refilc/webnaplo,612
Chanzhaoyu/chatgpt-web,612
ascoders/weekly,611
lapce/lapce,610
PySimpleGUI/PySimpleGUI,610
gregsadetsky/sagittarius,610
wailsapp/wails,609
scalar/scalar,609
docker/awesome-compose,608
casey/just,607
meilisearch/meilisearch,607
strapi/strapi,607
isadorasophia/murder,606
blakeblackshear/frigate,605
Alfred-Skyblue/vue-draggable-plus,604
microsoft/windows-ai-studio,604
labuladong/fucking-algorithm,603
